Year,Winners,Score,Runners-up,Venue,Location,Attendance,Ref.
1930,Uruguay,4–2,Argentina,Estadio Centenario,"Montevideo, Uruguay",68346.0,[7][8]
1934,Italy,2–1 (a.e.t.),Czechoslovakia,Stadio Nazionale PNF,"Rome, Italy",55000.0,[9][10]
1938,Italy,4–2,Hungary,Stade Olympique de Colombes,"Paris, France",45000.0,[11][12]
1950,Uruguay,2–1[n 3],Brazil,Maracanã Stadium,"Rio de Janeiro, Brazil",173850.0,[13][14]
1954,Germany,3–2,Hungary,Wankdorf Stadium,"Bern, Switzerland",62500.0,[15][16]
1958,Brazil,5–2,Sweden,Råsunda Stadium,"Solna, Sweden",49737.0,[17][18]
1962,Brazil,3–1,Czechoslovakia,Estadio Nacional,"Santiago, Chile",68679.0,[19][20]
1966,England,4–2 (a.e.t.),Germany,Wembley Stadium,"London, England",96924.0,[21][22]
1970,Brazil,4–1,Italy,Estadio Azteca,"Mexico City, Mexico",107412.0,[23][24]
1974,Germany,2–1,Netherlands,Olympiastadion,"Munich, West Germany",78200.0,[25][26]
1978,Argentina,3–1 (a.e.t.),Netherlands,Estadio Monumental,"Buenos Aires, Argentina",71483.0,[27][28]
1982,Italy,3–1,Germany,Santiago Bernabéu,"Madrid, Spain",90000.0,[29][30]
1986,Argentina,3–2,Germany,Estadio Azteca,"Mexico City, Mexico",114600.0,[31][32]
1990,Germany,1–0,Argentina,Stadio Olimpico,"Rome, Italy",73603.0,[33][34]
1994,Brazil,0–0 (a.e.t.) (3–2 pen.),Italy,Rose Bowl,"Pasadena, United States",94194.0,[35][36]
1998,France,3–0,Brazil,Stade de France,"Saint-Denis, France",80000.0,[37][38]
2002,Brazil,2–0,Germany,International Stadium,"Yokohama, Japan",69029.0,[39][40]
2006,Italy,1–1 (a.e.t.) (5–3 pen.),France,Olympiastadion,"Berlin, Germany",69000.0,[41][42]
2010,Spain,1–0 (a.e.t.),Netherlands,Soccer City,"Johannesburg, South Africa",84490.0,[43][44]
2014,Germany,1–0 (a.e.t.),Argentina,Maracanã Stadium,"Rio de Janeiro, Brazil",74738.0,[45][46]
2018,France,4–2,Croatia,Luzhniki Stadium,"Moscow, Russia",78011.0,[47][48]
2022,Argentina,3–3 (a.e.t.) (4–2 pen.),France,Lusail Stadium,"Lusail, Qatar",88966.0,[49]
